(1, 2, 4, 6, 9)	236
(3, 4, 6)	488
(5, 9)	528
(4, 7)	1212
(1, 2, 4, 5)	789
(1, 2, 4, 6)	420
(3, 5, 6, 7)	540
(1, 3, 4, 6, 9)	246
(2, 3, 7)	1164
(3, 4, 5, 6, 7)	484
(1, 5, 6, 9)	280
(1, 3, 5, 6, 7)	482
(2, 4, 5, 6, 7, 9)	253
(2, 3, 4, 6, 7)	447
(1, 3, 4, 5)	849
(1, 3, 4, 5, 6, 7, 9)	244
(2, 5, 7, 9)	418
(1, 3, 4, 5, 9)	377
(1, 2)	961
(5, 6, 7)	547
(1, 3, 6, 9)	267
(1, 6, 9)	282
(2, 9)	443
(1, 3, 7, 9)	419
(2, 3, 4, 5, 9)	392
(1, 2, 3, 4, 9)	353
(5,)	3154
(1, 3, 4, 7)	858
(2, 3, 4, 6, 7, 9)	253
(2, 3, 4, 5, 6, 7, 9)	253
(1, 2, 3, 4, 5, 7, 9)	349
(2, 3, 6, 9)	268
(2, 4, 5)	1045
(3, 6, 7)	541
(1, 3, 5, 7, 9)	417
(1, 3, 6, 7, 9)	265
(2, 4, 5, 6)	459
(2, 4, 7)	1025
(2, 3, 4, 7)	1022
(1, 2, 3, 6, 7, 9)	246
(3, 4, 5, 7)	1183
(1, 4, 5, 7)	848
(1, 6, 7)	488
(2, 3, 5, 6, 7)	478
(1, 2, 3, 4, 5, 6, 9)	235
(1, 3, 5, 6, 7, 9)	265
(1, 4, 5, 9)	380
(2, 3, 6, 7, 9)	266
(1, 5, 7, 9)	418
(3, 5, 7, 9)	482
(1, 4, 6, 7, 9)	244
(7, 9)	487
(1, 2, 3, 4, 5, 6, 7)	408
(1, 2, 3, 5, 6, 7, 9)	246
(2, 5, 6, 9)	275
(3, 5, 7)	1603
(1, 3, 4, 5, 7, 9)	374
(4, 5, 9)	430
(6,)	633
(2, 3, 4, 7, 9)	390
(1, 2, 3, 6, 9)	248
(1, 4, 6)	451
(3, 4, 6, 7)	485
(1, 2, 3, 5, 7, 9)	374
