(1, 2, 6, 7)	440
(1, 2, 6, 9)	255
(1, 2, 7, 9)	376
(1, 3, 4, 5)	849
(1, 3, 4, 6)	442
(1, 3, 4, 7)	858
(1, 3, 4, 9)	378
(1, 3, 5, 6)	487
(1, 3, 5, 7)	1032
(1, 3, 5, 9)	420
(1, 3, 6, 7)	482
(1, 3, 6, 9)	267
(1, 3, 7, 9)	419
(1, 4, 5, 6)	451
(1, 4, 5, 7)	848
(1, 4, 5, 9)	380
(1, 4, 6, 7)	441
(1, 4, 6, 9)	247
(1, 4, 7, 9)	375
(1, 5, 6, 7)	488
(1, 5, 6, 9)	280
(1, 5, 7, 9)	418
(1, 6, 7, 9)	265
(2, 3, 4, 5)	1013
(2, 3, 4, 6)	450
(2, 3, 4, 7)	1022
(2, 3, 4, 9)	393
(2, 3, 5, 6)	482
(2, 3, 5, 7)	1146
(2, 3, 5, 9)	421
(2, 3, 6, 7)	478
(2, 3, 6, 9)	268
(2, 3, 7, 9)	420
(2, 4, 5, 6)	459
(2, 4, 5, 7)	1011
(2, 4, 5, 9)	395
(2, 4, 6, 7)	449
(2, 4, 6, 9)	256
(2, 4, 7, 9)	390
(2, 5, 6, 7)	483
(2, 5, 6, 9)	275
(2, 5, 7, 9)	418
(2, 6, 7, 9)	266
(3, 4, 5, 6)	487
(3, 4, 5, 7)	1183
(3, 4, 5, 9)	426
(3, 4, 6, 7)	485
(3, 4, 6, 9)	267
(3, 4, 7, 9)	425
(3, 5, 6, 7)	540
(3, 5, 6, 9)	290
(3, 5, 7, 9)	482
(3, 6, 7, 9)	288
(4, 5, 6, 7)	486
(4, 5, 6, 9)	268
(4, 5, 7, 9)	423
(4, 6, 7, 9)	265
(5, 6, 7, 9)	288
(1, 2, 3, 4, 5)	768
(1, 2, 3, 4, 6)	411
(1, 2, 3, 4, 7)	775
(1, 2, 3, 4, 9)	353
(1, 2, 3, 5, 6)	439
(1, 2, 3, 5, 7)	855
(1, 2, 3, 5, 9)	377
(1, 2, 3, 6, 7)	435
(1, 2, 3, 6, 9)	248
(1, 2, 3, 7, 9)	376
(1, 2, 4, 5, 6)	420
(1, 2, 4, 5, 7)	766
(1, 2, 4, 5, 9)	354
(1, 2, 4, 6, 7)	410
(1, 2, 4, 6, 9)	236
(1, 2, 4, 7, 9)	350
(1, 2, 5, 6, 7)	440
(1, 2, 5, 6, 9)	254
(1, 2, 5, 7, 9)	374
(1, 2, 6, 7, 9)	246
(1, 3, 4, 5, 6)	442
(1, 3, 4, 5, 7)	844
(1, 3, 4, 5, 9)	377
(1, 3, 4, 6, 7)	439
(1, 3, 4, 6, 9)	246
(1, 3, 4, 7, 9)	375
(1, 3, 5, 6, 7)	482
(1, 3, 5, 6, 9)	267
(1, 3, 5, 7, 9)	417
(1, 3, 6, 7, 9)	265
(1, 4, 5, 6, 7)	441
(1, 4, 5, 6, 9)	247
(1, 4, 5, 7, 9)	374
(1, 4, 6, 7, 9)	244
(1, 5, 6, 7, 9)	265
(2, 3, 4, 5, 6)	450
(2, 3, 4, 5, 7)	1008
(2, 3, 4, 5, 9)	392
(2, 3, 4, 6, 7)	447
(2, 3, 4, 6, 9)	255
(2, 3, 4, 7, 9)	390
(2, 3, 5, 6, 7)	478
(2, 3, 5, 6, 9)	268
(2, 3, 5, 7, 9)	418
(2, 3, 6, 7, 9)	266
(2, 4, 5, 6, 7)	449
(2, 4, 5, 6, 9)	256
(2, 4, 5, 7, 9)	389
(2, 4, 6, 7, 9)	253
(2, 5, 6, 7, 9)	266
(3, 4, 5, 6, 7)	484
(3, 4, 5, 6, 9)	267
